Solution,Dates,Task,Milestone,Deliverable,Validation,Maturity_Gate,Work_Package,Communication,Reporting_Period,Review,Task_act,Milestone_act,Deliverable_act,Validation_act,Maturity_Gate_act,Work Package_act,Communication_act,Reporting Period_act,Review_act
PJ.10-01a,01/01/2017,25,7,17,12,2,1,0,0,0,25,7,17,12,2,1,0,0,0
PJ.10-01a,01/02/2017,25,7,17,12,2,1,0,0,0,25,7,17,12,2,1,0,0,0
PJ.10-01a,01/03/2017,25,7,17,12,2,1,0,0,0,25,7,17,12,2,1,0,0,0
PJ.10-01a,01/04/2017,25,7,17,12,2,1,0,0,0,25,7,17,12,2,1,0,0,0
PJ.10-01a,01/05/2017,25,7,17,12,2,1,0,0,0,25,7,17,12,2,1,0,0,0
PJ.10-01a,01/06/2017,25,7,17,12,2,1,0,0,0,25,7,17,12,2,1,0,0,0
PJ.10-01a,01/07/2017,25,7,17,12,2,1,0,0,0,25,7,17,12,2,1,0,0,0
PJ.10-01a,01/08/2017,25,7,17,12,2,1,0,0,0,25,7,17,12,2,1,0,0,0
PJ.10-01a,01/09/2017,25,6,17,12,2,1,0,0,0,25,6,17,12,2,1,0,0,0
PJ.10-01a,01/10/2017,25,6,17,12,2,1,0,0,0,25,6,17,12,2,1,0,0,0
PJ.10-01a,01/11/2017,25,6,17,12,2,1,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PJ.10-01a,01/12/2017,25,5,17,12,2,1,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PJ.10-01a,01/01/2018,25,5,17,12,2,1,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PJ.10-01a,01/02/2018,25,5,17,12,2,1,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PJ.10-01a,01/03/2018,25,3,17,12,2,1,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PJ.10-01a,01/04/2018,25,2,17,12,2,1,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PJ.10-01a,01/05/2018,25,2,17,12,2,1,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PJ.10-01a,01/06/2018,25,2,17,12,2,1,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PJ.10-01a,01/07/2018,25,2,17,12,2,1,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PJ.10-01a,01/08/2018,24,2,17,12,2,1,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PJ.10-01a,01/09/2018,23,2,16,12,2,1,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PJ.10-01a,01/10/2018,23,2,16,12,2,1,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PJ.10-01a,01/11/2018,22,2,15,11,2,1,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PJ.10-01a,01/12/2018,21,2,14,9,2,1,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PJ.10-01a,01/01/2019,21,2,14,9,2,1,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PJ.10-01a,01/02/2019,18,2,12,9,2,1,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
PJ.10-01a,01/03/2019,14,2,11,6,2,1,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
