Solution,Type,Quarter,Before,During,After,Not_achieved_yet,Planned,Actual
Project_10,Deliverable,Q4-2016,0,0,0,0,0,0
Project_10,Deliverable,Q1-2017,0,6,0,0,6,6
Project_10,Deliverable,Q2-2017,0,1,0,0,1,1
Project_10,Deliverable,Q3-2017,0,2,0,2,4,2
Project_10,Deliverable,Q4-2017,0,0,0,7,7,0
Project_10,Deliverable,Q1-2018,0,0,0,3,3,0
Project_10,Deliverable,Q2-2018,0,0,0,12,12,0
Project_10,Deliverable,Q3-2018,0,0,0,19,19,0
Project_10,Deliverable,Q4-2018,0,0,0,18,18,0
Project_10,Deliverable,Q1-2019,0,0,0,13,13,0
Project_10,Deliverable,Q2-2019,0,0,0,24,24,0
Project_10,Deliverable,Q3-2019,0,0,0,19,19,0
Project_10,Deliverable,Q4-2019,0,0,0,2,2,0
Project_10,Milestone,Q4-2016,0,0,0,0,0,0
Project_10,Milestone,Q1-2017,0,0,0,0,0,0
Project_10,Milestone,Q2-2017,0,2,0,1,3,2
Project_10,Milestone,Q3-2017,0,2,0,7,9,2
Project_10,Milestone,Q4-2017,0,0,0,7,7,0
Project_10,Milestone,Q1-2018,0,0,0,14,14,0
Project_10,Milestone,Q2-2018,0,0,0,4,4,0
Project_10,Milestone,Q3-2018,0,0,0,7,7,0
Project_10,Milestone,Q4-2018,0,0,0,6,6,0
Project_10,Milestone,Q1-2019,0,0,0,6,6,0
Project_10,Milestone,Q2-2019,0,0,0,4,4,0
Project_10,Milestone,Q3-2019,0,0,0,4,4,0
Project_10,Milestone,Q4-2019,0,0,0,3,3,0
Project_10,Validation,Q4-2016,0,0,0,0,0,0
Project_10,Validation,Q1-2017,0,0,0,0,0,0
Project_10,Validation,Q2-2017,0,0,0,0,0,0
Project_10,Validation,Q3-2017,0,0,0,2,2,0
Project_10,Validation,Q4-2017,0,0,0,13,13,0
Project_10,Validation,Q1-2018,0,0,0,10,10,0
Project_10,Validation,Q2-2018,0,0,0,3,3,0
Project_10,Validation,Q3-2018,0,0,0,12,12,0
Project_10,Validation,Q4-2018,0,0,0,22,22,0
Project_10,Validation,Q1-2019,0,0,0,20,20,0
Project_10,Validation,Q2-2019,0,0,0,22,22,0
Project_10,Validation,Q3-2019,0,0,0,2,2,0
Project_10,Validation,Q4-2019,0,0,0,0,0,0
Project_10,Maturity_Gate,Q4-2016,0,0,0,0,0,0
Project_10,Maturity_Gate,Q1-2017,0,0,0,0,0,0
Project_10,Maturity_Gate,Q2-2017,0,0,0,0,0,0
Project_10,Maturity_Gate,Q3-2017,0,0,0,0,0,0
Project_10,Maturity_Gate,Q4-2017,0,0,0,0,0,0
Project_10,Maturity_Gate,Q1-2018,0,0,0,0,0,0
Project_10,Maturity_Gate,Q2-2018,0,0,0,0,0,0
Project_10,Maturity_Gate,Q3-2018,0,0,0,1,1,0
Project_10,Maturity_Gate,Q4-2018,0,0,0,2,2,0
Project_10,Maturity_Gate,Q1-2019,0,0,0,0,0,0
Project_10,Maturity_Gate,Q2-2019,0,0,0,2,2,0
Project_10,Maturity_Gate,Q3-2019,0,0,0,4,4,0
Project_10,Maturity_Gate,Q4-2019,0,0,0,3,3,0
Project_10,Work_Package,Q4-2016,0,0,0,0,0,0
Project_10,Work_Package,Q1-2017,0,0,0,0,0,0
Project_10,Work_Package,Q2-2017,0,0,0,0,0,0
Project_10,Work_Package,Q3-2017,0,0,0,0,0,0
Project_10,Work_Package,Q4-2017,0,0,0,0,0,0
Project_10,Work_Package,Q1-2018,0,0,0,0,0,0
Project_10,Work_Package,Q2-2018,0,0,0,0,0,0
Project_10,Work_Package,Q3-2018,0,0,0,1,1,0
Project_10,Work_Package,Q4-2018,0,0,0,2,2,0
Project_10,Work_Package,Q1-2019,0,0,0,0,0,0
Project_10,Work_Package,Q2-2019,0,0,0,2,2,0
Project_10,Work_Package,Q3-2019,0,0,0,4,4,0
Project_10,Work_Package,Q4-2019,0,0,0,3,3,0
Project_10,Communication,Q4-2016,0,0,0,0,0,0
Project_10,Communication,Q1-2017,0,0,0,0,0,0
Project_10,Communication,Q2-2017,0,0,0,0,0,0
Project_10,Communication,Q3-2017,0,0,0,0,0,0
Project_10,Communication,Q4-2017,0,0,0,0,0,0
Project_10,Communication,Q1-2018,0,0,0,0,0,0
Project_10,Communication,Q2-2018,0,0,0,0,0,0
Project_10,Communication,Q3-2018,0,0,0,1,1,0
Project_10,Communication,Q4-2018,0,0,0,2,2,0
Project_10,Communication,Q1-2019,0,0,0,0,0,0
Project_10,Communication,Q2-2019,0,0,0,2,2,0
Project_10,Communication,Q3-2019,0,0,0,4,4,0
Project_10,Communication,Q4-2019,0,0,0,3,3,0
Project_10,Reporting_Period,Q4-2016,0,0,0,0,0,0
Project_10,Reporting_Period,Q1-2017,0,0,0,0,0,0
Project_10,Reporting_Period,Q2-2017,0,0,0,0,0,0
Project_10,Reporting_Period,Q3-2017,0,0,0,0,0,0
Project_10,Reporting_Period,Q4-2017,0,0,0,0,0,0
Project_10,Reporting_Period,Q1-2018,0,0,0,0,0,0
Project_10,Reporting_Period,Q2-2018,0,0,0,0,0,0
Project_10,Reporting_Period,Q3-2018,0,0,0,1,1,0
Project_10,Reporting_Period,Q4-2018,0,0,0,2,2,0
Project_10,Reporting_Period,Q1-2019,0,0,0,0,0,0
Project_10,Reporting_Period,Q2-2019,0,0,0,2,2,0
Project_10,Reporting_Period,Q3-2019,0,0,0,4,4,0
Project_10,Reporting_Period,Q4-2019,0,0,0,3,3,0
Project_10,Review,Q4-2016,0,0,0,0,0,0
Project_10,Review,Q1-2017,0,0,0,0,0,0
Project_10,Review,Q2-2017,0,0,0,0,0,0
Project_10,Review,Q3-2017,0,0,0,0,0,0
Project_10,Review,Q4-2017,0,0,0,0,0,0
Project_10,Review,Q1-2018,0,0,0,0,0,0
Project_10,Review,Q2-2018,0,0,0,0,0,0
Project_10,Review,Q3-2018,0,0,0,1,1,0
Project_10,Review,Q4-2018,0,0,0,2,2,0
Project_10,Review,Q1-2019,0,0,0,0,0,0
Project_10,Review,Q2-2019,0,0,0,2,2,0
Project_10,Review,Q3-2019,0,0,0,4,4,0
Project_10,Review,Q4-2019,0,0,0,3,3,0
PJ.10-01a,Deliverable,Q4-2016,0,0,0,0,0,0
PJ.10-01a,Deliverable,Q1-2017,0,0,0,0,0,0
PJ.10-01a,Deliverable,Q2-2017,0,0,0,0,0,0
PJ.10-01a,Deliverable,Q3-2017,0,0,0,0,0,0
PJ.10-01a,Deliverable,Q4-2017,0,0,0,0,0,0
PJ.10-01a,Deliverable,Q1-2018,0,0,0,0,0,0
PJ.10-01a,Deliverable,Q2-2018,0,0,0,0,0,0
PJ.10-01a,Deliverable,Q3-2018,0,0,0,1,1,0
PJ.10-01a,Deliverable,Q4-2018,0,0,0,2,2,0
