Solution,Dates,Task,Milestone,Deliverable,Validation,Maturity_Gate,Work_Package,Communication,Reporting_Period,Review,Task_act,Milestone_act,Deliverable_act,Validation_act,Maturity_Gate_act,Work_Package_act,Communication_act,Reporting_Period_act,Review_act
CLASS,01/01/2017,0,0,18,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
CLASS,01/02/2017,0,0,18,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
CLASS,01/03/2017,0,0,18,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
CLASS,01/04/2017,0,0,18,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
CLASS,01/05/2017,0,0,18,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
CLASS,01/06/2017,0,0,18,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
CLASS,01/07/2017,0,0,18,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
CLASS,01/08/2017,0,0,18,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0
CLASS,01/09/2017,0,0,17,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
CLASS,01/10/2017,0,0,17,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
CLASS,01/11/2017,0,0,17,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
CLASS,01/12/2017,0,0,17,0,0,0,0,0,0,0,0,17,0,0,0,0,0,0
CLASS,01/01/2018,0,0,17,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CLASS,01/02/2018,0,0,16,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CLASS,01/03/2018,0,0,15,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CLASS,01/04/2018,0,0,14,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CLASS,01/05/2018,0,0,14,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CLASS,01/06/2018,0,0,14,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CLASS,01/07/2018,0,0,13,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CLASS,01/08/2018,0,0,12,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CLASS,01/09/2018,0,0,11,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CLASS,01/10/2018,0,0,11,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CLASS,01/11/2018,0,0,7,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CLASS,01/12/2018,0,0,6,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CLASS,01/01/2019,0,0,6,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CLASS,01/02/2019,0,0,6,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CLASS,01/03/2019,0,0,5,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CLASS,01/04/2019,0,0,4,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CLASS,01/05/2019,0,0,2,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CLASS,01/06/2019,0,0,2,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CLASS,01/07/2019,0,0,2,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CLASS,01/08/2019,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CLASS,01/09/2019,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CLASS,01/10/2019,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CLASS,01/11/2019,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CLASS,01/12/2019,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CLASS,01/01/2020,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CLASS,01/02/2020,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CLASS,01/03/2020,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CLASS,01/04/2020,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CLASS,01/05/2020,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CLASS,01/06/2020,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CLASS,01/07/2020,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
CLASS,01/08/2020,0,0,0,0,0,0,0,0,0,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
