Solution,Type,Quarter,Before,During,After,Not_achieved_yet,Planned,Actual
U-Space,Deliverable,Q3-2017,0,6,0,0,6,6
U-Space,Deliverable,Q4-2017,0,3,0,13,16,3
U-Space,Deliverable,Q1-2018,0,0,0,18,18,0
U-Space,Deliverable,Q2-2018,0,0,0,12,12,0
U-Space,Deliverable,Q3-2018,0,0,0,15,15,0
U-Space,Deliverable,Q4-2018,1,0,0,22,23,0
U-Space,Deliverable,Q1-2019,0,0,0,14,14,0
U-Space,Deliverable,Q2-2019,0,0,0,11,11,0
U-Space,Deliverable,Q3-2019,0,0,0,21,21,0
U-Space,Deliverable,Q4-2019,0,0,0,2,2,0
U-Space,Deliverable,Q1-2020,0,0,0,1,1,0
U-Space,Deliverable,Q2-2020,0,0,0,1,1,0
U-Space,Deliverable,Q3-2020,0,0,0,5,5,0
U-Space,Deliverable,Q4-2020,0,0,0,0,0,0
CLASS,Deliverable,Q3-2017,0,1,0,0,1,1
CLASS,Deliverable,Q4-2017,0,0,0,0,0,0
CLASS,Deliverable,Q1-2018,0,0,0,3,3,0
CLASS,Deliverable,Q2-2018,0,0,0,1,1,0
CLASS,Deliverable,Q3-2018,0,0,0,2,2,0
CLASS,Deliverable,Q4-2018,0,0,0,5,5,0
CLASS,Deliverable,Q1-2019,0,0,0,2,2,0
CLASS,Deliverable,Q2-2019,0,0,0,2,2,0
CLASS,Deliverable,Q3-2019,0,0,0,2,2,0
CLASS,Deliverable,Q4-2019,0,0,0,0,0,0
CLASS,Deliverable,Q1-2020,0,0,0,0,0,0
CLASS,Deliverable,Q2-2020,0,0,0,0,0,0
CLASS,Deliverable,Q3-2020,0,0,0,0,0,0
CLASS,Deliverable,Q4-2020,0,0,0,0,0,0
DROC2OM,Deliverable,Q3-2017,0,0,0,0,0,0
DROC2OM,Deliverable,Q4-2017,0,1,0,1,2,1
DROC2OM,Deliverable,Q1-2018,0,0,0,1,1,0
DROC2OM,Deliverable,Q2-2018,0,0,0,3,3,0
DROC2OM,Deliverable,Q3-2018,0,0,0,1,1,0
DROC2OM,Deliverable,Q4-2018,0,0,0,5,5,0
DROC2OM,Deliverable,Q1-2019,0,0,0,0,0,0
DROC2OM,Deliverable,Q2-2019,0,0,0,0,0,0
DROC2OM,Deliverable,Q3-2019,0,0,0,3,3,0
DROC2OM,Deliverable,Q4-2019,0,0,0,0,0,0
DROC2OM,Deliverable,Q1-2020,0,0,0,0,0,0
DROC2OM,Deliverable,Q2-2020,0,0,0,0,0,0
DROC2OM,Deliverable,Q3-2020,0,0,0,0,0,0
DROC2OM,Deliverable,Q4-2020,0,0,0,0,0,0
PERCEVITE,Deliverable,Q3-2017,0,0,0,0,0,0
PERCEVITE,Deliverable,Q4-2017,0,0,0,1,1,0
PERCEVITE,Deliverable,Q1-2018,0,0,0,2,2,0
PERCEVITE,Deliverable,Q2-2018,0,0,0,0,0,0
PERCEVITE,Deliverable,Q3-2018,0,0,0,1,1,0
PERCEVITE,Deliverable,Q4-2018,1,0,0,1,2,0
PERCEVITE,Deliverable,Q1-2019,0,0,0,2,2,0
PERCEVITE,Deliverable,Q2-2019,0,0,0,0,0,0
PERCEVITE,Deliverable,Q3-2019,0,0,0,1,1,0
PERCEVITE,Deliverable,Q4-2019,0,0,0,0,0,0
PERCEVITE,Deliverable,Q1-2020,0,0,0,1,1,0
PERCEVITE,Deliverable,Q2-2020,0,0,0,1,1,0
PERCEVITE,Deliverable,Q3-2020,0,0,0,5,5,0
PERCEVITE,Deliverable,Q4-2020,0,0,0,0,0,0
SECOPS,Deliverable,Q3-2017,0,0,0,0,0,0
SECOPS,Deliverable,Q4-2017,0,1,0,0,1,1
SECOPS,Deliverable,Q1-2018,0,0,0,4,4,0
SECOPS,Deliverable,Q2-2018,0,0,0,1,1,0
SECOPS,Deliverable,Q3-2018,0,0,0,1,1,0
